[2025-10-20 22:03:05.134] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:03:06.129] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:03:07.132] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:03:08.128] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:03:09.131] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:03:10.126] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:03:11.130] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:03:12.125] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:03:13.127] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:03:14.123] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:03:15.126] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:03:16.122] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:03:17.124] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
